"P09","P03","P13","P17","P18","P19","P02A","P05","P06","P08","P10","P11","P12","P15","P20","P21","P22","grupo_protesto","idade","renda","educação","ideologia","sexo","FATOR_POND"
7,8,10,10,10,10,10,8,10,10,10,0,10,0,2,3,2,"Já protestou",24,1,15,0,"Feminino",0.966989467893079
7,10,10,10,10,10,10,5,6,10,10,5,10,4,3,10,0,"Pensou em protestar",54,NA,9,0,"Feminino",0.877117711669185
10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,"Não protestou",60,NA,14,0,"Masculino",0.768666810181938
NA,2,8,5,8,NA,2,2,7,2,NA,5,5,NA,5,7,2,"Não protestou",22,1,13,NA,"Masculino",0.907323764504042
10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,"Não protestou",73,1,8,NA,"Feminino",1.30066332447984
10,10,10,6,10,8,10,10,10,10,10,10,10,0,4,10,0,"Já protestou",66,3,7,0,"Masculino",0.774153978844062
9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,0,"Não protestou",16,NA,12,4,"Feminino",0.944585957369995
3,0,10,10,10,0,0,9,10,0,10,10,9,10,0,10,9,"Não protestou",45,NA,15,10,"Feminino",0.76002969683633
10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,"Não protestou",44,NA,14,0,"Feminino",0.835536448323642
10,8,10,8,10,5,10,10,10,8,9,5,10,0,8,8,0,"Pensou em protestar",36,NA,14,8,"Masculino",1.38043613567347
10,10,10,5,10,10,10,10,10,10,10,10,10,0,10,0,0,"Já protestou",26,1,16,5,"Masculino",1.2773841670326
9,10,9,9,10,8,8,8,8,9,8,8,0,6,10,3,7,"Não protestou",70,1,14,0,"Feminino",0.860083792463074
NA,5,10,10,10,10,10,10,10,5,10,NA,6,8,6,5,0,"Não protestou",52,1,8,7,"Masculino",0.949720657212011
5,7,10,8,10,10,10,9,10,10,7,10,7,8,10,7,10,"Já protestou",39,3,16,5,"Feminino",1.11658550703003
6,10,10,10,10,10,10,5,7,10,5,0,10,3,10,5,0,"Pensou em protestar",16,1,12,2,"Feminino",0.919907245895511
5,5,8,5,8,5,7,3,8,8,8,7,5,5,5,0,0,"Não protestou",60,1,7,8,"Feminino",1.5684008285589
NA,3,6,8,10,2,7,NA,5,10,9,10,0,NA,NA,2,NA,"Não protestou",73,1,3,NA,"Feminino",0.966759739651554
10,8,10,5,10,0,10,5,7,8,10,10,10,5,7,5,0,"Não protestou",25,5,15,10,"Feminino",0.914702446756533
8,9,3,0,10,4,10,10,10,3,10,1,10,2,10,7,5,"Já protestou",60,2,16,10,"Masculino",1.18188788225208
NA,5,9,9,10,9,4,8,10,9,9,4,9,4,9,5,0,"Não protestou",62,1,1,NA,"Masculino",1.19777332826152
3,1,5,1,2,10,7,2,8,10,2,9,0,0,4,5,1,"Não protestou",73,1,11,10,"Masculino",0.863323303348209
8,4,10,10,10,10,10,10,10,8,10,10,10,10,10,NA,6,"Não protestou",43,1,12,10,"Feminino",1.03988164709782
9,6,10,10,9,10,9,7,7,8,10,7,10,9,10,6,4,"Não protestou",21,1,15,8,"Feminino",0.770521747753489
9,10,10,9,10,9,10,9,8,9,10,10,10,4,9,9,0,"Não protestou",43,2,16,2,"Masculino",0.713790992721607
7,9,8,7,9,6,10,7,8,7,8,2,9,2,4,6,0,"Não protestou",74,1,7,7,"Masculino",1.51460008402065
5,5,9,7,9,5,9,6,8,8,7,6,9,3,3,7,2,"Não protestou",44,NA,11,7,"Feminino",1.36322101916697
6,8,10,9,10,7,10,9,6,8,9,5,9,5,8,7,10,"Não protestou",29,1,12,4,"Feminino",0.773569728683502
7,7,10,9,10,10,9,8,9,7,10,8,9,3,8,8,0,"Não protestou",55,3,12,0,"Masculino",0.85280327073728
10,5,10,10,10,10,10,8,8,10,10,10,9,8,10,5,0,"Pensou em protestar",17,NA,14,0,"Feminino",0.948669860035624
10,10,10,10,10,10,10,10,8,10,10,10,10,8,10,10,10,"Não protestou",30,1,14,0,"Feminino",0.757879603960432
9,9,10,6,10,9,9,8,8,9,10,8,9,6,8,8,0,"Já protestou",31,2,14,8,"Feminino",0.902560836152174
10,0,10,10,10,8,10,0,0,NA,10,0,10,6,NA,0,5,"Não protestou",69,2,13,0,"Feminino",0.835776257482241
5,7,10,10,10,10,5,10,10,10,5,7,10,5,7,7,0,"Não protestou",40,NA,14,10,"Feminino",0.953010166860398
10,10,10,10,10,10,9,10,8,10,10,2,3,10,10,10,10,"Não protestou",32,1,8,5,"Feminino",0.934863878722303
8,10,10,8,10,10,10,8,10,10,10,1,10,1,3,8,0,"Não protestou",22,1,14,3,"Feminino",0.837961918614137
5,0,9,10,7,5,9,0,8,6,10,2,7,6,8,8,0,"Não protestou",72,1,5,0,"Masculino",0.967259091159694
10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,0,"Já protestou",60,1,5,0,"Feminino",1.10268302794897
10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,"Não protestou",52,1,1,NA,"Feminino",0.93015618524297
9,2,4,2,5,2,5,5,8,4,5,1,6,4,7,2,1,"Não protestou",62,1,11,8,"Feminino",0.823778242084866
8,8,10,10,10,5,10,8,10,10,10,10,10,8,10,8,3,"Não protestou",29,2,11,10,"Masculino",0.885593337168092
9,8,4,8,10,9,1,10,9,8,9,6,10,8,7,2,2,"Não protestou",34,1,14,7,"Feminino",0.877255435777563
10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,0,"Já protestou",28,1,16,NA,"Feminino",0.810067224587673
10,10,10,10,10,10,10,10,10,10,10,0,10,8,10,5,0,"Pensou em protestar",37,3,15,NA,"Feminino",0.79017390107213
NA,0,10,10,10,10,10,5,NA,NA,10,NA,10,NA,8,NA,3,"Não protestou",66,3,8,NA,"Masculino",0.863323303348209
10,10,10,10,10,10,10,10,10,10,10,3,10,8,10,10,0,"Já protestou",34,NA,16,5,"Feminino",1.52064643772961
NA,NA,10,10,10,NA,10,NA,9,NA,8,NA,NA,NA,NA,NA,0,"Não protestou",45,3,14,NA,"Masculino",1.00389655313632
10,NA,10,10,10,10,10,NA,10,NA,NA,NA,NA,NA,NA,NA,0,"Não protestou",26,1,11,NA,"Feminino",1.10421638791726
8,8,8,8,8,NA,8,8,8,8,8,8,10,5,8,5,0,"Não protestou",36,3,16,NA,"Masculino",0.933557741615019
10,0,10,10,10,10,10,0,5,0,10,10,10,0,10,0,0,"Não protestou",53,2,12,NA,"Feminino",0.949802176374273
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"Não protestou",56,1,4,9,"Masculino",1.10809942441441
8,9,10,10,8,9,8,8,5,9,10,5,10,7,5,7,7,"Não protestou",17,2,11,5,"Masculino",0.995626905460457
7,8,10,10,10,7,9,7,7,10,10,5,10,10,10,10,5,"Não protestou",45,1,15,5,"Feminino",0.755821886616155
10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0,"Não protestou",54,1,9,10,"Masculino",0.849824810490352
10,10,10,10,10,10,10,9,10,10,10,6,0,10,8,8,0,"Não protestou",28,NA,7,0,"Feminino",1.13264230136587
10,2,10,8,10,10,10,NA,NA,2,10,0,10,8,8,9,5,"Não protestou",75,1,7,NA,"Feminino",1.13157427528434
8,8,10,10,10,2,8,0,3,9,10,9,9,0,5,0,0,"Não protestou",26,NA,7,7,"Feminino",1.060344388895
10,0,6,10,10,7,10,8,10,6,8,10,10,4,0,3,0,"Não protestou",68,2,13,10,"Masculino",0.963522410882448
5,7,9,10,10,5,7,5,5,NA,10,7,NA,3,8,5,0,NA,61,NA,7,10,"Feminino",1.48725543263822
5,10,10,10,10,5,10,5,10,5,5,5,10,8,10,5,0,"Não protestou",46,3,16,5,"Feminino",0.861900560711877
NA,10,5,10,10,10,NA,10,10,10,10,5,10,NA,10,0,0,"Não protestou",62,3,7,4,"Masculino",0.942443342447526
5,10,10,10,10,10,10,8,10,5,10,5,8,6,10,6,0,"Pensou em protestar",20,NA,14,7,"Feminino",1.25268118996519
7,10,10,10,10,10,10,10,10,5,10,10,10,6,10,5,0,"Já protestou",60,3,11,0,"Masculino",0.908186965886531
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",58,1,7,10,"Feminino",0.92961218348506
0,5,5,5,5,5,5,0,0,5,5,0,0,5,5,5,0,"Não protestou",29,NA,14,0,"Masculino",1.0546222296803
10,10,10,0,10,5,10,10,10,10,10,10,10,7,10,0,0,"Não protestou",24,1,15,0,"Masculino",0.702249574846345
10,10,10,0,10,10,10,8,0,10,10,10,10,8,10,0,0,"Não protestou",34,1,14,8,"Feminino",1.35115640318754
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",35,1,7,10,"Masculino",1.25802407011926
10,10,10,10,10,10,10,10,5,10,10,10,7,10,7,10,10,"Pensou em protestar",16,NA,12,10,"Masculino",0.998423932903769
10,1,3,9,1,2,6,6,8,5,8,4,10,7,6,9,5,"Não protestou",60,1,6,5,"Masculino",1.01316855597899
5,6,10,10,10,7,10,5,3,9,10,9,8,3,3,5,0,"Pensou em protestar",19,NA,14,9,"Feminino",0.955776650418234
5,5,10,6,8,8,0,5,0,10,0,1,10,6,10,1,0,"Não protestou",60,NA,14,5,"Masculino",0.851142824578264
10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,0,"Não protestou",40,1,14,8,"Feminino",1.23935017812843
10,9,10,10,10,9,10,9,9,10,10,9,9,10,10,10,10,"Não protestou",17,NA,12,10,"Feminino",0.938682118112949
5,10,10,10,10,10,10,10,10,10,10,0,10,10,5,5,0,"Não protestou",64,2,8,10,"Masculino",1.04096833840002
10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,0,0,"Não protestou",24,NA,14,0,"Feminino",0.706774125203052
7,4,7,2,8,5,3,6,2,5,9,8,6,9,3,2,9,"Não protestou",41,2,9,8,"Feminino",1.39170173879974
7,10,10,10,10,10,9,5,9,10,10,8,10,10,9,9,0,"Não protestou",31,2,12,10,"Masculino",0.813183979867625
10,10,10,1,10,10,10,10,10,10,10,10,10,1,1,1,1,"Pensou em protestar",34,1,6,10,"Masculino",1.19803987137215
6,3,10,9,10,9,10,5,9,10,10,6,3,0,9,1,0,"Não protestou",18,1,14,5,"Feminino",0.96594628115466
7,10,10,10,10,8,4,9,10,5,10,10,9,10,7,6,9,"Não protestou",33,1,12,10,"Feminino",0.757436358144965
10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,"Não protestou",22,1,14,10,"Masculino",1.34592203514689
10,9,10,10,10,10,10,6,10,8,10,8,10,9,10,10,1,"Não protestou",53,1,6,10,"Feminino",0.840023750697753
8,10,10,10,10,5,10,10,10,10,10,10,10,8,10,9,9,"Não protestou",69,1,9,0,"Masculino",1.0662084420033
NA,10,10,6,10,10,10,10,10,10,10,10,10,0,10,0,0,"Não protestou",31,3,7,NA,"Masculino",1.37691679110681
7,8,10,10,10,10,10,10,10,10,10,3,8,8,10,10,8,"Já protestou",43,3,12,4,"Masculino",0.814520641269861
10,10,9,0,10,10,10,10,10,10,8,0,10,10,10,0,0,"Pensou em protestar",46,1,15,6,"Feminino",0.7044559123492
10,10,10,10,8,6,10,10,9,8,3,10,10,2,10,6,0,"Não protestou",39,1,14,5,"Feminino",1.01049269716729
8,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,"Não protestou",33,NA,14,5,"Feminino",0.727847387676453
8,9,10,10,10,7,10,10,10,9,10,8,10,7,10,7,4,"Não protestou",17,1,12,10,"Masculino",1.00470351818244
8,7,8,7,10,7,10,7,8,9,9,9,6,7,7,6,0,"Não protestou",20,1,14,5,"Masculino",0.784936275674368
10,10,10,10,10,10,10,5,10,8,10,10,10,10,NA,5,0,"Não protestou",33,1,14,10,"Masculino",1.22498255463976
9,8,10,5,10,5,10,5,6,8,7,10,9,1,3,6,2,"Não protestou",39,1,15,5,"Feminino",0.767842146992393
2,4,10,10,1,2,2,1,4,1,1,2,10,2,2,3,5,"Já protestou",60,1,7,2,"Feminino",1.08898546309099
10,10,10,10,10,4,10,10,10,10,10,2,10,10,5,10,0,"Não protestou",48,3,14,10,"Masculino",1.37104732162437
10,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,0,0,"Já protestou",36,2,13,10,"Masculino",1.02964609447306
10,10,10,10,10,4,10,10,10,10,3,0,5,0,10,7,5,"Não protestou",28,1,11,0,"Feminino",0.99673566792177
10,2,10,2,10,10,10,9,10,10,10,10,10,2,10,9,0,"Não protestou",37,1,14,10,"Feminino",1.04144033042767
10,10,8,10,8,5,10,5,10,NA,10,5,10,5,10,10,10,"Não protestou",54,2,2,0,"Masculino",0.976056707997717
10,10,10,9,10,6,10,10,8,10,10,10,10,5,10,5,7,"Não protestou",77,1,7,0,"Masculino",1.10049632802847
5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,0,"Não protestou",18,3,14,2,"Masculino",0.911775479744419
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Já protestou",58,5,14,10,"Feminino",0.742760164359082
5,8,10,10,10,0,10,10,10,10,10,5,10,0,0,0,0,"Não protestou",60,NA,14,5,"Feminino",0.776741395393136
10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,1,3,"Pensou em protestar",19,1,14,7,"Masculino",0.672408284172577
10,8,10,10,10,8,10,10,10,8,10,10,10,8,6,10,2,"Não protestou",32,2,14,0,"Feminino",0.877255435777563
10,10,10,10,10,10,10,10,8,10,10,NA,10,10,10,10,10,"Não protestou",36,3,16,6,"Masculino",1.31651988487645
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",40,5,15,0,"Feminino",0.995178006730668
8,10,10,9,10,10,10,10,10,10,10,5,8,8,7,0,0,"Não protestou",24,1,16,0,"Feminino",0.893188238547152
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",46,3,14,10,"Masculino",0.974589768595469
7,4,10,10,10,9,10,10,7,10,10,10,10,8,10,7,0,"Não protestou",18,NA,14,10,"Masculino",1.38444338974565
10,10,5,5,10,10,10,5,10,8,10,10,10,0,7,10,0,"Já protestou",61,3,16,0,"Feminino",0.790400690626007
9,8,10,7,10,10,7,7,8,5,5,5,3,0,8,10,2,"Pensou em protestar",45,1,14,5,"Feminino",0.937887215655137
5,10,10,10,10,10,7,7,10,10,10,10,10,6,10,5,2,"Pensou em protestar",20,1,12,0,"Masculino",0.847480128164208
8,8,9,9,9,4,8,8,9,7,9,8,NA,8,9,7,9,"Não protestou",24,NA,14,7,"Feminino",0.837961918614137
10,10,10,10,10,10,10,10,10,6,10,5,10,7,10,10,0,"Não protestou",26,NA,14,3,"Feminino",1.01174155495848
8,6,8,5,8,5,10,9,10,8,10,10,10,1,5,4,0,"Não protestou",33,1,16,6,"Feminino",0.9818342231958
10,7,10,5,10,3,10,10,10,5,10,10,10,2,8,8,3,"Já protestou",76,4,16,9,"Feminino",1.19623918530306
10,10,10,10,10,8,10,10,10,10,10,0,10,0,10,0,0,"Não protestou",26,3,16,5,"Masculino",1.14170158616301
10,8,10,0,9,8,10,10,9,6,10,9,10,0,8,6,0,"Não protestou",44,3,16,10,"Masculino",1.04676423581686
NA,10,10,10,10,10,10,0,0,10,10,0,10,0,10,10,0,"Não protestou",49,4,8,0,"Masculino",0.702371166850656
10,9,10,10,10,10,10,10,10,9,10,10,10,5,10,9,0,"Já protestou",44,NA,16,5,"Feminino",0.896085154604983
8,8,10,10,10,10,10,8,8,6,10,10,10,8,8,8,0,"Não protestou",56,NA,16,5,"Feminino",1.2588245960274
10,10,10,10,10,5,10,10,10,10,10,10,10,9,10,10,5,"Não protestou",55,4,16,10,"Masculino",1.0348184485171
10,10,10,7,10,10,10,8,10,10,10,10,10,0,8,0,0,"Não protestou",56,2,14,NA,"Masculino",0.643549674034297
5,10,10,10,10,10,10,7,7,10,10,4,7,3,9,3,0,"Pensou em protestar",17,NA,14,10,"Feminino",0.944585957369995
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,"Já protestou",25,1,14,0,"Feminino",1.06345580402997
2,5,2,1,2,0,5,10,10,10,8,10,0,10,2,5,0,"Não protestou",55,2,14,5,"Masculino",0.78344763755334
5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,0,"Já protestou",19,2,12,10,"Masculino",0.886007043502778
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,"Não protestou",35,NA,12,10,"Masculino",0.763744911734753
7,10,10,10,10,8,10,8,10,10,8,0,8,8,8,2,6,"Não protestou",61,2,12,0,"Masculino",1.19650849011023
10,10,10,10,10,10,10,8,8,10,10,5,10,5,8,8,2,"Pensou em protestar",24,2,16,10,"Feminino",1.44556630846359
8,10,10,10,10,10,10,7,10,10,10,2,5,3,5,2,0,"Não protestou",18,1,14,5,"Feminino",0.956335963416962
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",52,1,8,5,"Masculino",0.839088427379977
10,9,10,10,10,10,10,10,10,10,10,0,0,10,10,9,0,"Não protestou",73,1,8,NA,"Masculino",0.928938670900078
10,8,10,10,10,10,10,10,10,7,10,10,10,7,8,5,5,"Não protestou",42,3,14,NA,"Masculino",1.00814740497847
10,9,10,10,10,10,10,10,10,10,8,3,10,5,10,5,3,"Não protestou",25,NA,11,NA,"Feminino",1.06630271227594
9,9,10,4,9,10,7,9,9,8,10,9,8,8,10,6,3,"Já protestou",26,2,14,9,"Feminino",1.53136301399123
10,9,10,1,10,10,10,10,10,10,10,10,10,1,1,1,1,"Pensou em protestar",28,1,14,6,"Feminino",0.805943580759283
10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,"Não protestou",64,1,7,NA,"Masculino",0.914992195918346
10,10,10,10,10,8,10,10,10,8,10,10,10,9,8,7,8,"Não protestou",60,1,11,10,"Feminino",0.870058833470997
10,10,10,10,10,10,10,10,10,10,10,1,10,10,5,10,10,"Não protestou",60,1,1,NA,"Feminino",0.922130839661451
5,10,10,10,10,10,10,10,10,10,8,10,10,4,10,5,10,"Não protestou",94,1,5,8,"Masculino",1.16288502287282
7,10,10,5,10,10,10,10,10,10,10,10,10,0,10,0,3,"Pensou em protestar",65,3,16,10,"Feminino",1.27138523498667
10,10,10,10,10,10,10,10,10,10,10,10,8,8,10,8,0,"Pensou em protestar",59,2,8,0,"Masculino",0.806688713093957
10,10,10,10,8,10,10,8,8,10,10,0,10,10,10,10,0,"Não protestou",55,1,14,10,"Masculino",0.739130936548178
8,8,10,10,10,9,9,10,8,10,10,10,10,10,8,10,8,"Não protestou",66,1,13,5,"Feminino",0.973484221664195
5,8,10,10,8,8,10,10,10,10,10,10,10,0,10,5,1,"Pensou em protestar",28,3,16,5,"Feminino",0.892682308946674
10,10,10,8,10,10,10,4,10,10,10,10,10,0,10,0,0,"Não protestou",27,3,16,5,"Feminino",1.47767019889974
10,5,10,10,10,5,10,9,2,9,10,0,7,3,7,2,0,"Não protestou",50,1,4,1,"Feminino",0.904764941498786
10,10,10,9,10,9,6,5,10,7,6,10,10,9,10,8,0,"Pensou em protestar",20,NA,15,NA,"Feminino",1.13184316791376
6,5,10,10,10,3,6,4,10,9,10,8,2,0,8,6,3,"Não protestou",50,NA,1,8,"Feminino",1.11411055239741
5,9,10,10,10,10,10,5,10,10,10,5,5,9,7,10,1,"Não protestou",21,2,15,3,"Feminino",0.835014984497966
10,7,10,10,10,10,10,10,7,10,10,5,6,0,5,1,0,"Já protestou",24,2,15,0,"Masculino",0.831250342743761
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Já protestou",61,2,14,5,"Masculino",0.791022548586603
0,0,10,0,10,0,0,10,10,10,0,10,10,0,10,0,0,"Já protestou",47,1,14,0,"Masculino",0.967561609639532
10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,"Não protestou",59,1,11,0,"Feminino",1.00043762116081
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",35,1,1,10,"Feminino",0.966482347421686
10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,8,1,"Não protestou",22,1,9,10,"Feminino",0.941702424030341
8,8,10,10,10,5,8,10,10,10,10,10,10,8,7,5,0,"Já protestou",47,3,14,1,"Masculino",0.850079273647274
10,0,10,0,10,0,7,10,8,5,10,10,10,0,0,0,10,"Não protestou",43,2,14,5,"Masculino",1.05684108938233
8,8,10,10,10,10,10,8,10,10,10,NA,10,8,8,5,3,"Não protestou",37,1,14,0,"Feminino",0.85983700874704
5,10,10,10,10,10,10,10,10,10,10,10,7,0,5,0,0,"Não protestou",30,2,14,5,"Masculino",0.944340742428642
5,5,10,10,10,10,10,7,8,8,10,10,10,5,7,7,0,"Pensou em protestar",26,1,15,5,"Masculino",0.859079689992025
10,9,10,10,10,8,10,8,9,7,9,9,10,5,4,8,1,"Não protestou",59,NA,7,5,"Feminino",0.863949242527969
10,9,10,10,10,8,10,7,5,9,10,10,10,10,3,4,0,"Pensou em protestar",18,1,14,5,"Feminino",0.955776650418234
10,10,10,5,10,10,10,10,10,10,10,7,10,6,10,10,0,"Não protestou",23,3,14,0,"Masculino",0.744556000960947
8,9,9,8,9,7,6,6,9,3,2,7,0,10,10,2,2,"Não protestou",64,1,1,10,"Feminino",0.966759739651554
10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,"Não protestou",33,1,14,NA,"Feminino",1.03027448641078
5,10,10,10,10,10,10,10,10,10,10,10,5,0,10,5,0,"Não protestou",33,3,15,0,"Feminino",0.750834668877396
2,10,10,6,10,10,10,5,9,10,10,10,2,1,1,3,1,"Não protestou",55,3,14,6,"Masculino",1.26020102282756
10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,"Não protestou",55,NA,6,0,"Masculino",0.946704016212918
10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,"Pensou em protestar",44,1,12,0,"Feminino",0.835536448323642
NA,10,10,8,6,10,10,6,10,8,10,NA,5,NA,NA,10,NA,"Não protestou",25,2,12,NA,"Feminino",1.16975075004976
10,10,10,10,10,10,10,10,6,10,10,10,0,0,8,10,0,"Já protestou",74,3,14,0,"Masculino",0.791022548586603
10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,0,"Não protestou",61,NA,14,5,"Feminino",0.754789268396869
10,10,10,10,10,10,5,10,10,10,5,7,10,10,10,10,7,"Não protestou",58,1,14,4,"Feminino",0.692686988167182
3,3,10,10,10,10,10,10,10,10,5,3,10,10,10,10,0,"Não protestou",44,NA,8,NA,"Masculino",0.863075590119791
8,10,10,8,10,10,10,5,8,10,8,6,10,5,8,5,0,"Não protestou",56,1,14,10,"Feminino",0.922959036404184
4,5,9,10,6,9,9,4,2,7,7,6,2,6,6,3,9,NA,68,1,7,9,"Feminino",0.873080408870849
8,10,10,10,10,9,10,9,10,9,10,9,10,6,6,9,0,"Pensou em protestar",44,2,15,2,"Masculino",0.680839985846322
10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,"Não protestou",50,1,8,10,"Feminino",1.00731900195169
3,9,9,10,10,10,9,6,9,9,10,8,9,2,8,10,0,"Não protestou",58,2,11,5,"Masculino",0.855056033056748
7,10,10,8,10,10,10,5,10,10,10,10,10,0,0,5,0,"Não protestou",42,2,14,NA,"Masculino",1.30901559397728
6,7,9,2,10,10,9,8,10,10,10,8,4,0,7,4,1,"Pensou em protestar",20,2,14,8,"Feminino",0.904940901241688
10,10,10,10,10,0,10,10,10,4,10,0,10,9,1,5,5,"Já protestou",33,3,16,10,"Masculino",1.15777455128222
0,0,10,10,10,10,10,0,0,NA,NA,NA,10,NA,NA,NA,NA,"Não protestou",70,1,1,5,"Feminino",0.966759739651554
8,10,10,10,9,10,10,6,9,10,10,10,4,9,10,10,9,"Pensou em protestar",42,1,1,10,"Masculino",1.15631546402622
10,6,10,10,10,10,10,7,10,10,10,10,10,5,10,10,10,"Não protestou",42,1,4,7,"Masculino",0.984252074314285
0,0,5,10,10,NA,7,5,0,NA,5,0,0,0,6,NA,NA,"Não protestou",58,1,11,NA,"Feminino",0.877117711669185
5,10,10,10,10,6,6,10,10,10,10,10,6,7,10,4,0,"Pensou em protestar",51,1,14,6,"Masculino",0.783466798429152
10,10,10,10,10,10,10,5,10,10,10,10,10,10,0,10,0,"Não protestou",18,1,14,5,"Masculino",0.834017813093662
8,8,10,6,10,7,10,8,3,10,10,0,7,0,10,4,0,"Não protestou",62,2,7,6,"Feminino",0.873080408870849
6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"Pensou em protestar",47,1,11,0,"Masculino",1.04846312729561
10,0,10,10,10,8,10,10,10,10,10,5,10,5,5,10,0,"Não protestou",67,2,14,0,"Feminino",0.776741395393136
9,5,10,10,6,10,10,10,10,10,10,5,0,5,5,4,0,"Não protestou",29,1,16,10,"Masculino",0.960947336435046
10,10,10,10,10,6,10,6,10,5,10,10,10,5,5,0,0,"Não protestou",62,2,11,2,"Feminino",0.847736829394164
8,10,10,7,10,10,10,10,10,10,10,10,10,0,7,0,0,"Não protestou",28,2,14,NA,"Masculino",0.719115389457582
8,7,10,5,10,7,10,10,7,5,10,8,10,5,5,0,0,"Não protestou",55,2,16,4,"Feminino",0.861900560711877
5,5,7,0,7,5,10,10,5,5,5,0,10,0,7,5,5,"Já protestou",48,4,14,10,"Masculino",1.37104732162437
5,10,10,7,10,10,10,10,10,10,10,5,10,0,5,0,0,"Não protestou",65,NA,14,NA,"Masculino",0.768666810181938
5,5,6,5,7,5,10,10,10,5,8,4,10,6,5,2,0,"Já protestou",31,4,16,10,"Masculino",1.15777455128222
7,10,10,10,10,10,10,10,10,10,10,6,10,0,5,0,0,"Não protestou",16,NA,15,NA,"Feminino",0.944585957369995
6,10,10,5,10,10,10,10,10,10,10,5,10,0,5,0,0,"Não protestou",38,4,16,NA,"Feminino",0.896085154604983
8,8,8,6,5,5,8,0,5,5,8,0,5,0,8,0,0,"Não protestou",67,2,11,5,"Feminino",1.28301509117192
10,5,10,9,10,10,8,8,10,10,7,10,10,5,10,9,1,"Não protestou",44,3,16,3,"Masculino",0.907173698967327
0,0,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0,"Não protestou",32,NA,1,NA,"Masculino",1.15089804570164
8,8,10,10,10,0,10,5,10,10,10,10,10,9,10,10,0,"Não protestou",29,NA,14,0,"Feminino",0.974266018674993
6,9,10,10,10,10,10,10,10,10,10,10,10,5,5,5,0,"Não protestou",22,2,15,5,"Masculino",1.03405516890641
9,8,8,7,3,8,10,5,8,8,5,7,10,7,8,8,5,"Não protestou",30,2,14,9,"Feminino",1.26765974778401
10,10,7,7,10,5,10,10,7,6,10,6,10,10,7,10,0,"Não protestou",32,2,14,10,"Feminino",1.20481652132839
10,10,10,10,10,5,10,10,10,10,10,10,10,5,10,10,10,"Não protestou",68,1,8,10,"Masculino",1.05158993520397
10,5,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,"Não protestou",19,1,12,5,"Feminino",0.980818823830447
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Não protestou",34,1,10,10,"Feminino",1.31302983826089
6,10,10,9,10,10,4,9,10,10,10,9,10,2,8,10,10,"Não protestou",57,3,9,9,"Masculino",0.777733825549331
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,"Não protestou",53,NA,4,0,"Masculino",0.849737406965083
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",37,3,16,3,"Feminino",0.832598044071402
0,0,7,8,4,0,4,8,0,4,0,6,0,1,2,0,0,"Não protestou",53,1,1,NA,"Feminino",0.92961218348506
8,5,7,10,10,8,8,9,9,9,6,4,5,7,9,9,8,"Não protestou",61,1,6,9,"Feminino",0.827681149712402
