"P09","P03","P13","P17","P18","P19","P02A","P05","P06","P08","P10","P11","P12","P15","P20","P21","P22","grupo_protesto","idade","renda","educação","ideologia","sexo","FATOR_POND"
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,"Não protestou",56,1,8,10,"Feminino",0.825275099905523
10,10,10,10,10,10,10,0,0,10,10,0,10,5,10,1,0,"Não protestou",63,1,7,5,"Masculino",0.796186663052669
8,10,10,10,10,10,9,10,10,10,10,9,10,10,9,8,8,"Não protestou",45,2,8,8,"Masculino",0.96699188275491
10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,2,0,"Não protestou",44,1,14,10,"Feminino",1.25713302241127
0,2,0,10,5,NA,10,0,0,5,2,0,10,0,4,1,6,NA,64,1,16,NA,"Feminino",0.850473703398326
5,10,10,7,10,10,10,0,10,10,10,10,10,0,10,5,0,"Não protestou",29,1,15,5,"Feminino",1.07624635128526
7,10,10,10,10,10,8,8,8,9,10,NA,10,NA,8,8,10,"Não protestou",37,2,14,8,"Feminino",1.17522909437396
10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,"Não protestou",49,1,10,10,"Feminino",1.03600938425529
5,10,10,10,10,10,10,6,5,10,10,0,10,10,10,0,0,"Não protestou",19,2,14,0,"Masculino",0.744556000960947
10,0,0,0,0,10,10,0,0,4,4,10,10,10,0,0,10,"Não protestou",30,4,16,0,"Masculino",1.04846240082726
10,10,10,5,10,8,10,10,10,6,10,10,10,5,10,10,0,"Já protestou",24,2,15,8,"Masculino",1.14809473043604
7,7,10,10,10,10,10,NA,5,3,5,0,3,10,0,10,0,"Não protestou",21,NA,10,9,"Feminino",1.40694101610415
10,10,10,8,10,10,10,10,10,10,10,10,10,0,7,0,0,"Já protestou",70,1,14,10,"Masculino",1.21364789414474
8,8,10,10,10,10,10,8,10,10,10,10,9,5,7,5,0,"Pensou em protestar",38,3,16,0,"Masculino",0.942862615134219
8,10,10,10,10,8,10,7,8,9,8,0,10,8,8,0,0,"Já protestou",16,NA,11,0,"Feminino",0.938682118112949
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Não protestou",63,2,7,NA,"Feminino",1.10961835059214
10,5,5,8,10,10,10,10,5,10,10,10,10,10,10,5,1,"Já protestou",27,1,11,0,"Masculino",1.31528009512572
NA,10,10,10,9,10,10,10,10,10,8,10,10,8,10,8,8,"Não protestou",50,NA,12,8,"Feminino",1.16401009057712
10,10,10,10,10,10,10,10,10,10,10,0,10,5,10,5,0,"Já protestou",46,3,16,0,"Feminino",0.884595514101817
9,7,10,10,10,2,8,10,10,4,10,10,10,5,1,10,0,"Não protestou",26,1,13,0,"Masculino",0.944340742428642
9,5,10,5,10,10,10,6,8,6,5,10,0,9,9,10,10,"Não protestou",65,1,1,10,"Masculino",1.12295693808093
10,9,10,10,9,5,10,10,8,10,10,10,8,9,10,9,0,"Não protestou",62,4,16,5,"Feminino",1.12889097454488
10,10,10,9,10,10,9,9,9,10,10,10,9,9,9,10,5,"Pensou em protestar",30,1,14,NA,"Feminino",0.929290603452517
10,10,10,9,8,9,10,8,9,8,8,9,10,10,8,8,9,"Não protestou",64,1,6,3,"Feminino",0.892976043305937
10,9,10,10,8,10,10,10,10,10,0,10,10,10,10,10,7,"Não protestou",62,1,10,0,"Masculino",1.03803660773075
10,8,6,10,9,5,9,10,8,7,10,7,8,5,10,8,8,"Não protestou",57,2,16,5,"Feminino",0.964629207993466
5,8,6,8,10,6,4,5,4,8,9,6,8,8,5,8,7,"Não protestou",59,1,4,10,"Masculino",0.741387757627025
10,10,10,0,10,0,10,8,6,10,5,8,2,10,7,0,0,"Não protestou",45,2,14,5,"Masculino",1.15053288260709
5,8,9,10,10,8,5,10,5,8,10,7,10,8,8,3,0,"Não protestou",28,1,13,5,"Feminino",0.769286955755124
10,7,10,10,10,10,10,9,8,10,10,10,10,0,9,2,0,"Não protestou",56,1,16,0,"Feminino",0.723146867421069
10,8,10,10,10,8,10,8,10,10,10,8,10,5,8,0,0,"Não protestou",63,2,14,NA,"Feminino",0.776741395393136
1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,"Não protestou",61,NA,6,NA,"Masculino",1.15561677354527
10,5,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,"Já protestou",73,1,8,0,"Masculino",0.833791685597639
10,10,10,10,10,10,10,10,10,10,10,10,5,0,8,0,0,"Já protestou",30,1,16,0,"Masculino",0.695149545367836
10,10,10,10,10,10,10,6,10,10,10,10,10,10,10,0,0,"Não protestou",64,1,11,0,"Feminino",0.84255038562809
10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,"Não protestou",36,1,14,10,"Feminino",1.14035712695469
7,9,10,10,10,10,10,6,10,9,10,6,9,8,8,8,8,"Não protestou",45,1,9,NA,"Feminino",0.810175549886063
